category_level_1,category_level_2,category_level_3,category_level_4,product_slug,product_name,product_url,specification_sheet_url
cloud-services-apps,,,,cloud-services,SkyportCare,https://daikincomfort.com/products/cloud-services-apps/cloud-services,
cloud-services-apps,,,,cloud-services---apps-homeowner,SkyportHome app & SkyportCare,https://daikincomfort.com/products/cloud-services-apps/cloud-services---apps-homeowner,
cloud-services-apps,,,,daikin-comfort-control-app,Daikin Comfort Control App,https://daikincomfort.com/products/cloud-services-apps/daikin-comfort-control-app,
cloud-services-apps,,,,one-home-mobile-app,SkyportHome App,https://daikincomfort.com/products/cloud-services-apps/one-home-mobile-app,
cloud-services-apps,,,,skyportcare-app,SkyportCare App,https://daikincomfort.com/products/cloud-services-apps/skyportcare-app,
,,,,ductless,Daikin Ductless Solutions,https://daikincomfort.com/products/ductless,
heating-cooling,,,,multi-split-ductless,Multi-Zone Ductless Systems,https://daikincomfort.com/products/heating-cooling/multi-split-ductless,
heating-cooling,multi-split-ductless,,,8-zone-multi-split,Multi-Zone Ductless Systems,https://daikincomfort.com/products/heating-cooling/multi-split-ductless/8-zone-multi-split,
heating-cooling,multi-split-ductless,,,daikin-cirra-2-zone-multi-zone,Daikin Cirra 2 Zone Multi Zone,https://daikincomfort.com/products/heating-cooling/multi-split-ductless/daikin-cirra-2-zone-multi-zone,
heating-cooling,multi-split-ductless,,,enhanced-multi-zone-aurora,Enhanced Multi Zone Aurora,https://daikincomfort.com/products/heating-cooling/multi-split-ductless/enhanced-multi-zone-aurora,
heating-cooling,multi-split-ductless,,,multi-zone-daikin-aurora-mxt---r-32-2-to-5-zone,Multi-Zone Ductless Systems,https://daikincomfort.com/products/heating-cooling/multi-split-ductless/multi-zone-daikin-aurora-mxt---r-32-2-to-5-zone,
heating-cooling,multi-split-ductless,,,multi-zone-daikin-aurora-mxt-2-zones,Multi-Zone Ductless Systems,https://daikincomfort.com/products/heating-cooling/multi-split-ductless/multi-zone-daikin-aurora-mxt-2-zones,
